Filename, N_kps1, N_kps2, Total_kps2, N_matches, average_match_rate, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward, old_average_match_rate,difference,dif2,, average_match_rate_reduced_CC,,,
losangeles064-2010.png,2963,4401,7364,726,0.197175448,795,793,0,0,0.203422053,-0.030707609,0.000942957,,0.19744704,-0.000271592,7.3762E-08,
merced001-2010.png,3614,4717,8331,429,0.102988837,472,503,0,0,0.110911055,-0.071428571,0.005102041,,0.102988837,0,0,
merced002-2010.png,3585,4355,7940,134,0.033753149,167,180,0,0,0.037027708,-0.088435379,0.007820816,,0.033753149,0,0,
merced003-2010.png,866,1387,2253,108,0.09587217,129,130,0,0,0.104749223,-0.08474576,0.007181844,,0.096759876,-0.000887705,7.88021E-07,
merced004-2010.png,1039,1357,2396,168,0.140233723,204,214,0,0,0.160267112,-0.125000001,0.015625,,0.140233723,0,0,
merced005-2010.png,597,734,1331,101,0.15176559,118,120,0,0,0.163786627,-0.073394498,0.005386752,,0.15176559,0,0,
merced006-2010.png,360,637,997,26,0.052156469,33,43,0,0,0.066198596,-0.212121215,0.04499541,,0.052156469,0,0,
merced007-2010.png,291,504,795,13,0.032704403,24,21,0,0,0.040251572,-0.187499993,0.035156248,,0.032704403,0,0,
merced008-2010.png,239,227,466,22,0.094420601,28,25,0,0,0.094420601,-1.49967E-09,2.24902E-18,,0.094420601,0,0,
merced009-2010.png,2814,4533,7347,319,0.086838165,351,388,0,0,0.091465904,-0.050595233,0.002559878,,0.086838165,0,0,
merced010-2010.png,2709,4229,6938,174,0.050158547,209,209,0,0,0.051888152,-0.03333333,0.001111111,,0.050158547,0,0,
merced011-2010.png,675,964,1639,36,0.043929225,47,52,0,0,0.053691275,-0.181818179,0.03305785,,0.043929225,0,0,
merced012-2010.png,881,1129,2010,118,0.117412935,144,148,0,0,0.129353234,-0.092307693,0.00852071,,0.117412935,0,0,
merced013-2010.png,603,621,1224,33,0.053921569,46,47,0,0,0.058823529,-0.083333327,0.006944443,,0.053921569,0,0,
merced014-2010.png,823,1493,2316,76,0.065630397,92,103,0,0,0.075993092,-0.136363642,0.018595043,,0.066493955,-0.000863558,7.45732E-07,
merced015-2010.png,419,1038,1457,77,0.105696637,91,94,0,0,0.112560055,-0.060975611,0.003718025,,0.107069321,-0.001372684,1.88426E-06,
merced016-2010.png,550,767,1317,100,0.151860289,118,122,0,0,0.159453303,-0.047619048,0.002267574,,0.153378891,-0.001518603,2.30615E-06,
merced017-2010.png,1047,2001,3048,103,0.067585302,117,145,0,0,0.076771654,-0.119658125,0.014318067,,0.06824147,-0.000656168,4.30556E-07,
merced018-2010.png,1128,1834,2962,62,0.041863606,75,87,0,0,0.047265361,-0.11428571,0.013061223,,0.041863606,0,0,
merced019-2010.png,551,690,1241,11,0.017727639,16,22,0,0,0.029008864,-0.388888893,0.151234571,,0.017727639,0,0,
merced020-2010.png,432,405,837,43,0.102747909,52,52,0,0,0.109916368,-0.065217391,0.004253308,,0.105137395,-0.002389486,5.70964E-06,
merced021-2010.png,758,274,1032,10,0.019379845,17,11,0,0,0.019379845,-2.00208E-09,4.00832E-18,,0.019379845,0,0,
merced022-2010.png,796,359,1155,37,0.064069264,45,43,0,0,0.069264069,-0.074999996,0.005624999,,0.064069264,0,0,
merced023-2010.png,452,578,1030,40,0.077669903,48,66,0,0,0.108737864,-0.285714285,0.081632653,,0.077669903,0,0,
merced024-2010.png,149,500,649,15,0.046224961,19,26,0,0,0.055469954,-0.16666667,0.027777779,,0.046224961,0,0,
merced025-2010.png,611,1318,1929,44,0.045619492,53,84,0,0,0.061171591,-0.254237282,0.064636596,,0.046656299,-0.001036807,1.07497E-06,
merced026-2010.png,1003,1194,2197,79,0.071916249,101,102,0,0,0.077378243,-0.070588235,0.004982699,,0.071916249,0,0,
merced027-2010.png,1030,1011,2041,50,0.04899559,71,64,0,0,0.053895149,-0.090909084,0.008264461,,0.04899559,0,0,
merced028-2010.png,640,252,892,9,0.020179372,16,15,0,0,0.022421525,-0.100000014,0.010000003,,0.020179372,0,0,
merced029-2010.png,1684,112,1796,11,0.012249443,19,11,0,0,0.012249443,1.69069E-08,2.85843E-16,,0.012249443,0,0,
merced030-2010.png,1582,98,1680,3,0.003571429,8,3,0,0,0.003571429,-1.2E-07,1.43999E-14,,0.003571429,0,0,
merced031-2010.png,481,670,1151,51,0.088618593,60,61,0,0,0.09730669,-0.089285716,0.007971939,,0.088618593,0,0,
